time,open,high,low,close,tick_volume,spread,real_volume
2024-01-12 09:00:00,2035.18,2039.35,2034.16,2037.49,3435,4,0
2024-01-12 10:00:00,2037.56,2039.86,2037.05,2038.76,3891,4,0
2024-01-12 11:00:00,2038.73,2040.1,2037.9,2038.17,3214,4,0
2024-01-12 12:00:00,2038.2,2046.14,2038.11,2045.9,3080,4,0
2024-01-12 13:00:00,2045.9,2047.38,2044.1,2045.44,3848,4,0
2024-01-12 14:00:00,2045.56,2053.66,2045.56,2047.83,4960,4,0
2024-01-12 15:00:00,2047.86,2056.67,2044.41,2056.18,8431,0,0
2024-01-12 16:00:00,2056.18,2062.24,2053.33,2056.02,8918,0,0
2024-01-12 17:00:00,2055.97,2060.08,2050.96,2053.72,7812,0,0
2024-01-12 18:00:00,2053.76,2055.54,2048.28,2048.34,6177,0,0
2024-01-12 19:00:00,2048.08,2048.6,2041.45,2043.92,5470,4,0
2024-01-12 20:00:00,2043.86,2048.68,2043.09,2047.51,3881,4,0
2024-01-12 21:00:00,2047.42,2049.15,2046.25,2047.38,2570,4,0
2024-01-12 22:00:00,2047.39,2047.67,2046.08,2047.48,1947,4,0
2024-01-12 23:00:00,2047.34,2049.21,2046.86,2048.81,1183,4,0
2024-01-15 01:00:00,2048.19,2048.78,2046.34,2047.63,1812,0,0
2024-01-15 02:00:00,2047.75,2048.48,2045.8,2047.89,2316,2,0
2024-01-15 03:00:00,2047.85,2051.42,2047.52,2051.09,3808,4,0
2024-01-15 04:00:00,2051.11,2056.42,2049.85,2056.38,3766,4,0
2024-01-15 05:00:00,2056.37,2058.1,2055.54,2057.39,2834,4,0
2024-01-15 06:00:00,2057.4,2057.59,2053.56,2054.36,1750,4,0
2024-01-15 07:00:00,2054.34,2055.61,2053.01,2055.17,1841,4,0
2024-01-15 08:00:00,2055.13,2057.0,2053.86,2055.43,2437,6,0
2024-01-15 09:00:00,2055.44,2055.95,2052.9,2054.24,3132,4,0
2024-01-15 10:00:00,2054.3,2058.63,2053.88,2056.65,2928,0,0
2024-01-15 11:00:00,2056.61,2057.03,2052.99,2055.06,2661,4,0
2024-01-15 12:00:00,2055.08,2055.19,2052.06,2053.04,2410,4,0
2024-01-15 13:00:00,2053.13,2053.84,2051.55,2053.32,2108,4,0
2024-01-15 14:00:00,2053.37,2053.73,2051.36,2052.76,2352,5,0
2024-01-15 15:00:00,2052.85,2054.28,2052.21,2054.24,2946,5,0
2024-01-15 16:00:00,2054.3,2054.43,2051.69,2052.18,2579,5,0
2024-01-15 17:00:00,2052.16,2053.85,2049.28,2053.26,2932,5,0
